Item1,Item2,Year,Composition ratio,Tool Tips（Composition ratio）
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2017,30.317905482,30.317905482
Walking in shopping districts,What did you do during your current stay in Japan?,2017,74.399877238,74.399877238
Walking in shopping districts,What you wanted to do during this trip to Japan?,2017,39.920936412,39.920936412
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2017,25.914679723,25.914679723
Experience Japanese history/culture,What did you do during your current stay in Japan?,2017,24.830041854,24.830041854
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2017,16.655172023,16.655172023
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2017,21.609085462,21.609085462
Experience Japanese everyday life,What did you do during your current stay in Japan?,2017,22.436837211,22.436837211
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2017,14.193828483,14.193828483
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2017,14.270002198,14.270002198
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2017,14.551312224,14.551312224
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2017,9.297818367,9.297818367
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2017,3.754549216,3.754549216
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2017,1.021129018,1.021129018
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2017,0.826599475,0.826599475
None in particular,"If you were to come to Japan again in future, what would you like to do?",2017,2.216407708,2.216407708
None in particular,What did you do during your current stay in Japan?,2017,0.536079711,0.536079711
None in particular,What you wanted to do during this trip to Japan?,2017,7.146157355,7.146157355
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2018,56.7462,56.7462
Eat Japanese food,What did you do during your current stay in Japan?,2018,96.2172,96.2172
Eat Japanese food,What you wanted to do during this trip to Japan?,2018,70.5357,70.5357
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2018,20.9476,20.9476
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2018,44.7103,44.7103
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2018,24.7039,24.7039
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2018,26.6904,26.6904
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2018,28.1105,28.1105
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2018,19.2242,19.2242
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2018,49.076,49.076
Bathe in a hot spring,What did you do during your current stay in Japan?,2018,33.913,33.913
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2018,28.1496,28.1496
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2018,41.3083,41.3083
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2018,66.0775,66.0775
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2018,46.4762,46.4762
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2018,7.1115,7.1115
Sports watching,What did you do during your current stay in Japan?,2018,1.5364,1.5364
Sports watching,What you wanted to do during this trip to Japan?,2018,2.5205,2.5205
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2018,7.5337,7.5337
Stage or music performances,What did you do during your current stay in Japan?,2018,3.3167,3.3167
Stage or music performances,What you wanted to do during this trip to Japan?,2018,3.7637,3.7637
Shopping,"If you were to come to Japan again in future, what would you like to do?",2018,42.0817,42.0817
Shopping,What did you do during your current stay in Japan?,2018,83.9659,83.9659
Shopping,What you wanted to do during this trip to Japan?,2018,54.3887,54.3887
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2018,15.914,15.914
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2018,29.3389,29.3389
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2018,20.1078,20.1078
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2018,20.7313,20.7313
Theme parks,What did you do during your current stay in Japan?,2018,19.8221,19.8221
Theme parks,What you wanted to do during this trip to Japan?,2018,16.5999,16.5999
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2018,15.4575,15.4575
Ski/snowboard,What did you do during your current stay in Japan?,2018,3.0508,3.0508
Ski/snowboard,What you wanted to do during this trip to Japan?,2018,4.3045,4.3045
Other sports,"If you were to come to Japan again in future, what would you like to do?",2018,2.5186,2.5186
Other sports,What did you do during your current stay in Japan?,2018,1.6771,1.6771
Other sports,What you wanted to do during this trip to Japan?,2018,1.8522,1.8522
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2018,15.1616,15.1616
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2018,6.7572,6.7572
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2018,6.3868,6.3868
Seasons,"If you were to come to Japan again in future, what would you like to do?",2018,24.8188,24.8188
Seasons,What did you do during your current stay in Japan?,2018,11.9782,11.9782
Seasons,What you wanted to do during this trip to Japan?,2018,12.285,12.285
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2018,9.1953,9.1953
Visiting film/anime settings,What did you do during your current stay in Japan?,2018,4.5595,4.5595
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2018,4.9445,4.9445
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2018,24.5993,24.5993
Walking in shopping districts,What did you do during your current stay in Japan?,2018,73.9315,73.9315
Walking in shopping districts,What you wanted to do during this trip to Japan?,2018,41.6517,41.6517
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2018,24.2597,24.2597
Experience Japanese history/culture,What did you do during your current stay in Japan?,2018,26.3888,26.3888
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2018,20.6442,20.6442
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2018,21.9072,21.9072
Experience Japanese everyday life,What did you do during your current stay in Japan?,2018,23.3848,23.3848
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2018,16.9426,16.9426
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2018,13.0085,13.0085
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2018,12.7194,12.7194
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2018,9.8193,9.8193
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2018,1.4199,1.4199
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2018,0.8776,0.8776
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2018,0.9234,0.9234
Other,"If you were to come to Japan again in future, what would you like to do?",2018,1.0288,1.0288
None in particular,"If you were to come to Japan again in future, what would you like to do?",2018,1.0651,1.0651
None in particular,What did you do during your current stay in Japan?,2018,0.2475,0.2475
None in particular,What you wanted to do during this trip to Japan?,2018,5.517,5.517
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2019,57.5529,57.5529
Eat Japanese food,What did you do during your current stay in Japan?,2019,96.6011,96.6011
Eat Japanese food,What you wanted to do during this trip to Japan?,2019,69.6778,69.6778
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2019,21.8593,21.8593
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2019,42.3265,42.3265
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2019,24.4161,24.4161
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2019,26.7287,26.7287
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2019,26.8911,26.8911
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2019,18.8539,18.8539
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2019,49.2429,49.2429
Bathe in a hot spring,What did you do during your current stay in Japan?,2019,31.9728,31.9728
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2019,26.7229,26.7229
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2019,45.0035,45.0035
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2019,65.8624,65.8624
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2019,47.0051,47.0051
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2019,7.9409,7.9409
Sports watching,What did you do during your current stay in Japan?,2019,2.8691,2.8691
Sports watching,What you wanted to do during this trip to Japan?,2019,3.6206,3.6206
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2019,8.7756,8.7756
Stage or music performances,What did you do during your current stay in Japan?,2019,3.7474,3.7474
Stage or music performances,What you wanted to do during this trip to Japan?,2019,3.9111,3.9111
Shopping,"If you were to come to Japan again in future, what would you like to do?",2019,42.8888,42.8888
Shopping,What did you do during your current stay in Japan?,2019,82.7515,82.7515
Shopping,What you wanted to do during this trip to Japan?,2019,52.568,52.568
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2019,17.8894,17.8894
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2019,29.3497,29.3497
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2019,20.7972,20.7972
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2019,21.8252,21.8252
Theme parks,What did you do during your current stay in Japan?,2019,20.6684,20.6684
Theme parks,What you wanted to do during this trip to Japan?,2019,18.0817,18.0817
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2019,18.0262,18.0262
Ski/snowboard,What did you do during your current stay in Japan?,2019,2.7911,2.7911
Ski/snowboard,What you wanted to do during this trip to Japan?,2019,4.4835,4.4835
Other sports,"If you were to come to Japan again in future, what would you like to do?",2019,2.4838,2.4838
Other sports,What did you do during your current stay in Japan?,2019,1.5142,1.5142
Other sports,What you wanted to do during this trip to Japan?,2019,1.8977,1.8977
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2019,16.4034,16.4034
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2019,7.0171,7.0171
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2019,6.3062,6.3062
Seasons,"If you were to come to Japan again in future, what would you like to do?",2019,26.8604,26.8604
Seasons,What did you do during your current stay in Japan?,2019,13.662,13.662
Seasons,What you wanted to do during this trip to Japan?,2019,13.5094,13.5094
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2019,10.2414,10.2414
Visiting film/anime settings,What did you do during your current stay in Japan?,2019,4.5875,4.5875
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2019,4.7085,4.7085
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2019,26.6375,26.6375
Walking in shopping districts,What did you do during your current stay in Japan?,2019,74.6135,74.6135
Walking in shopping districts,What you wanted to do during this trip to Japan?,2019,43.3128,43.3128
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2019,25.7656,25.7656
Experience Japanese history/culture,What did you do during your current stay in Japan?,2019,28.6702,28.6702
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2019,22.1907,22.1907
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2019,22.358,22.358
Experience Japanese everyday life,What did you do during your current stay in Japan?,2019,22.4802,22.4802
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2019,17.0306,17.0306
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2019,13.6026,13.6026
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2019,13.5118,13.5118
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2019,10.2489,10.2489
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2019,1.606,1.606
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2019,0.86,0.86
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2019,0.7372,0.7372
Other,"If you were to come to Japan again in future, what would you like to do?",2019,1.2158,1.2158
None in particular,"If you were to come to Japan again in future, what would you like to do?",2019,1.0908,1.0908
None in particular,What did you do during your current stay in Japan?,2019,0.2954,0.2954
None in particular,What you wanted to do during this trip to Japan?,2019,7.1591,7.1591
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2023,67.9205,67.9205
Eat Japanese food,What did you do during your current stay in Japan?,2023,98.1182,98.1182
Eat Japanese food,What you wanted to do during this trip to Japan?,2023,83.1874,83.1874
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2023,26.5115,26.5115
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2023,51.7096,51.7096
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2023,34.878,34.878
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2023,30.1731,30.1731
